LocationType,Location,TimeFrame,DataFormat,Data
Nation,United States,2000,Number,543035
State,Alabama,2000,Number,5611
State,Alaska,2000,Number,2192
State,Arizona,2000,Number,6470
State,Arkansas,2000,Number,3043
State,California,2000,Number,112664
State,Colorado,2000,Number,7517
State,Connecticut,2000,Number,6980
State,Delaware,2000,Number,1096
City,District of Columbia,2000,Number,3018
State,Florida,2000,Number,36571
State,Georgia,2000,Number,11184
State,Hawaii,2000,Number,2401
State,Idaho,2000,Number,1015
State,Illinois,2000,Number,29368
State,Indiana,2000,Number,7475
State,Iowa,2000,Number,5067
State,Kansas,2000,Number,6548
State,Kentucky,2000,Number,5996
State,Louisiana,2000,Number,5406
State,Maine,2000,Number,3189
State,Maryland,2000,Number,13093
State,Massachusetts,2000,Number,11576
State,Michigan,2000,Number,19819
State,Minnesota,2000,Number,8478
State,Mississippi,2000,Number,3273
State,Missouri,2000,Number,13171
State,Montana,2000,Number,2175
State,Nebraska,2000,Number,5657
State,Nevada,2000,Number,1611
State,New Hampshire,2000,Number,1310
State,New Jersey,2000,Number,9771
State,New Mexico,2000,Number,1911
State,New York,2000,Number,47082
State,North Carolina,2000,Number,10831
State,North Dakota,2000,Number,1129
State,Ohio,2000,Number,20274
State,Oklahoma,2000,Number,8369
State,Oregon,2000,Number,9192
State,Pennsylvania,2000,Number,21576
State,Rhode Island,2000,Number,2289
State,South Carolina,2000,Number,4523
State,South Dakota,2000,Number,1210
State,Tennessee,2000,Number,10131
State,Texas,2000,Number,18188
State,Utah,2000,Number,1805
State,Vermont,2000,Number,1389
State,Virginia,2000,Number,6782
State,Washington,2000,Number,8936
State,West Virginia,2000,Number,3375
State,Wisconsin,2000,Number,10486
State,Wyoming,2000,Number,812
State,Wyoming,2000,"Rate per 1,000",6
State,Wisconsin,2000,"Rate per 1,000",8
State,West Virginia,2000,"Rate per 1,000",8
State,Washington,2000,"Rate per 1,000",6
State,Virginia,2000,"Rate per 1,000",4
State,Vermont,2000,"Rate per 1,000",9
State,Utah,2000,"Rate per 1,000",3
State,Texas,2000,"Rate per 1,000",3
State,Tennessee,2000,"Rate per 1,000",7
State,South Dakota,2000,"Rate per 1,000",6
State,South Carolina,2000,"Rate per 1,000",4
State,Rhode Island,2000,"Rate per 1,000",9
State,Pennsylvania,2000,"Rate per 1,000",7
State,Oregon,2000,"Rate per 1,000",11
State,Oklahoma,2000,"Rate per 1,000",9
State,Ohio,2000,"Rate per 1,000",7
State,North Dakota,2000,"Rate per 1,000",7
State,North Carolina,2000,"Rate per 1,000",6
State,New York,2000,"Rate per 1,000",10
State,New Mexico,2000,"Rate per 1,000",4
State,New Jersey,2000,"Rate per 1,000",5
State,New Hampshire,2000,"Rate per 1,000",4
State,Nevada,2000,"Rate per 1,000",3
State,Nebraska,2000,"Rate per 1,000",13
State,Montana,2000,"Rate per 1,000",9
State,Missouri,2000,"Rate per 1,000",9
State,Mississippi,2000,"Rate per 1,000",4
State,Minnesota,2000,"Rate per 1,000",7
State,Michigan,2000,"Rate per 1,000",8
State,Massachusetts,2000,"Rate per 1,000",8
State,Maryland,2000,"Rate per 1,000",10
State,Maine,2000,"Rate per 1,000",11
State,Louisiana,2000,"Rate per 1,000",4
State,Kentucky,2000,"Rate per 1,000",6
State,Kansas,2000,"Rate per 1,000",9
State,Iowa,2000,"Rate per 1,000",7
State,Indiana,2000,"Rate per 1,000",5
State,Illinois,2000,"Rate per 1,000",9
State,Idaho,2000,"Rate per 1,000",3
State,Hawaii,2000,"Rate per 1,000",8
State,Georgia,2000,"Rate per 1,000",5
State,Florida,2000,"Rate per 1,000",10
City,District of Columbia,2000,"Rate per 1,000",26
State,Delaware,2000,"Rate per 1,000",6
State,Connecticut,2000,"Rate per 1,000",8
State,Colorado,2000,"Rate per 1,000",7
State,California,2000,"Rate per 1,000",12
State,Arkansas,2000,"Rate per 1,000",4
State,Arizona,2000,"Rate per 1,000",5
State,Alaska,2000,"Rate per 1,000",12
State,Alabama,2000,"Rate per 1,000",5
Nation,United States,2000,"Rate per 1,000",8
Nation,United States,2001,"Rate per 1,000",7
State,Alabama,2001,"Rate per 1,000",5
State,Alaska,2001,"Rate per 1,000",11
State,Arizona,2001,"Rate per 1,000",4
State,Arkansas,2001,"Rate per 1,000",4
State,California,2001,"Rate per 1,000",11
State,Colorado,2001,"Rate per 1,000",6
State,Connecticut,2001,"Rate per 1,000",9
State,Delaware,2001,"Rate per 1,000",5
City,District of Columbia,2001,"Rate per 1,000",29
State,Florida,2001,"Rate per 1,000",9
State,Georgia,2001,"Rate per 1,000",6
State,Idaho,2001,"Rate per 1,000",3
State,Hawaii,2001,"Rate per 1,000",9
State,Illinois,2001,"Rate per 1,000",9
State,Indiana,2001,"Rate per 1,000",5
State,Iowa,2001,"Rate per 1,000",7
State,Kansas,2001,"Rate per 1,000",9
State,Kentucky,2001,"Rate per 1,000",6
State,Louisiana,2001,"Rate per 1,000",4
State,Maine,2001,"Rate per 1,000",11
State,Maryland,2001,"Rate per 1,000",9
State,Massachusetts,2001,"Rate per 1,000",8
State,Michigan,2001,"Rate per 1,000",8
State,Minnesota,2001,"Rate per 1,000",6
State,Mississippi,2001,"Rate per 1,000",4
State,Missouri,2001,"Rate per 1,000",9
State,Montana,2001,"Rate per 1,000",9
State,Nevada,2001,"Rate per 1,000",5
State,Nebraska,2001,"Rate per 1,000",14
State,New Hampshire,2001,"Rate per 1,000",4
State,New Jersey,2001,"Rate per 1,000",5
State,New Mexico,2001,"Rate per 1,000",4
State,New York,2001,"Rate per 1,000",9
State,North Carolina,2001,"Rate per 1,000",5
State,North Dakota,2001,"Rate per 1,000",8
State,Ohio,2001,"Rate per 1,000",7
State,Oklahoma,2001,"Rate per 1,000",10
