LocationType,Location,PlacementType,TimeFrame,DataFormat,Data
Nation,United States,Foster family home - non-relative,2000,Number,249468
Nation,United States,Foster family home - relative,2000,Number,133571
Nation,United States,Group home or institution,2000,Number,96505
Nation,United States,Pre-adoptive home,2000,Number,21392
Nation,United States,Runaway,2000,Number,9743
Nation,United States,Supervised independent living,2000,Number,4811
Nation,United States,Trial home visit,2000,Number,18240
State,Alabama,Foster family home - non-relative,2000,Number,3192
State,Alabama,Foster family home - relative,2000,Number,711
State,Alabama,Group home or institution,2000,Number,1143
State,Alabama,Pre-adoptive home,2000,Number,108
State,Alabama,Runaway,2000,Number,78
State,Alabama,Supervised independent living,2000,Number,9
State,Alabama,Trial home visit,2000,Number,347
State,Alaska,Foster family home - non-relative,2000,Number,910
State,Alaska,Foster family home - relative,2000,Number,672
State,Alaska,Group home or institution,2000,Number,217
State,Alaska,Pre-adoptive home,2000,Number,35
State,Alaska,Runaway,2000,Number,N.R.
State,Alaska,Supervised independent living,2000,Number,N.R.
State,Alaska,Trial home visit,2000,Number,358
State,Arizona,Foster family home - non-relative,2000,Number,2765
State,Arizona,Foster family home - relative,2000,Number,1636
State,Arizona,Group home or institution,2000,Number,1623
State,Arizona,Pre-adoptive home,2000,Number,58
State,Arizona,Runaway,2000,Number,179
State,Arizona,Supervised independent living,2000,Number,95
State,Arizona,Trial home visit,2000,Number,77
State,Arkansas,Foster family home - non-relative,2000,Number,2380
State,Arkansas,Foster family home - relative,2000,Number,253
State,Arkansas,Group home or institution,2000,Number,48
State,Arkansas,Pre-adoptive home,2000,Number,107
State,Arkansas,Runaway,2000,Number,95
State,Arkansas,Supervised independent living,2000,Number,N.R.
State,Arkansas,Trial home visit,2000,Number,N.R.
State,California,Foster family home - non-relative,2000,Number,39493
State,California,Foster family home - relative,2000,Number,42387
State,California,Group home or institution,2000,Number,18363
State,California,Pre-adoptive home,2000,Number,3617
State,California,Runaway,2000,Number,3477
State,California,Supervised independent living,2000,Number,N.R.
State,California,Trial home visit,2000,Number,5268
State,Colorado,Foster family home - non-relative,2000,Number,4379
State,Colorado,Foster family home - relative,2000,Number,862
State,Colorado,Group home or institution,2000,Number,1750
State,Colorado,Pre-adoptive home,2000,Number,294
State,Colorado,Runaway,2000,Number,123
State,Colorado,Supervised independent living,2000,Number,110
State,Colorado,Trial home visit,2000,Number,15
State,Connecticut,Foster family home - non-relative,2000,Number,2832
State,Connecticut,Foster family home - relative,2000,Number,1342
State,Connecticut,Group home or institution,2000,Number,2067
State,Connecticut,Pre-adoptive home,2000,Number,234
State,Connecticut,Runaway,2000,Number,N.R.
State,Connecticut,Supervised independent living,2000,Number,102
State,Connecticut,Trial home visit,2000,Number,5
State,Delaware,Foster family home - non-relative,2000,Number,645
State,Delaware,Foster family home - relative,2000,Number,115
State,Delaware,Group home or institution,2000,Number,277
State,Delaware,Pre-adoptive home,2000,Number,53
State,Delaware,Runaway,2000,Number,N.R.
