LocationType,Location,Category,TimeFrame,DataFormat,Data
Nation,United States,high school or ged,Age 17,Number,632
Nation,United States,vocational certificate,Age 17,Number,53
Nation,United States,vocational license,Age 17,Number,S
Nation,United States,Associate Degree,Age 17,Number,S
Nation,United States,bachelor degree,Age 17,Number,S
Nation,United States,higher degree,Age 17,Number,24
Nation,United States,none of the above,Age 17,Number,15759
Nation,United States,Declined,Age 17,Number,633
Nation,United States,blank,Age 17,Number,71
Nation,United States,blank,Age 17,Percent,0
Nation,United States,Declined,Age 17,Percent,0.04
Nation,United States,none of the above,Age 17,Percent,0.92
Nation,United States,higher degree,Age 17,Percent,0
Nation,United States,bachelor degree,Age 17,Percent,S
Nation,United States,Associate Degree,Age 17,Percent,S
Nation,United States,vocational license,Age 17,Percent,S
Nation,United States,vocational certificate,Age 17,Percent,0
Nation,United States,high school or ged,Age 17,Percent,0.04
Nation,United States,blank,Age 19,Percent,0.03
Nation,United States,Declined,Age 19,Percent,0.02
Nation,United States,none of the above,Age 19,Percent,0.37
Nation,United States,higher degree,Age 19,Percent,0
Nation,United States,bachelor degree,Age 19,Percent,S
Nation,United States,Associate Degree,Age 19,Percent,0
Nation,United States,vocational license,Age 19,Percent,0
Nation,United States,vocational certificate,Age 19,Percent,0.01
Nation,United States,high school or ged,Age 19,Percent,0.56
Nation,United States,high school or ged,Age 19,Number,4853
Nation,United States,vocational certificate,Age 19,Number,97
Nation,United States,vocational license,Age 19,Number,41
Nation,United States,Associate Degree,Age 19,Number,15
Nation,United States,bachelor degree,Age 19,Number,S
Nation,United States,higher degree,Age 19,Number,12
Nation,United States,none of the above,Age 19,Number,3263
Nation,United States,Declined,Age 19,Number,197
Nation,United States,blank,Age 19,Number,227
Nation,United States,high school or ged,Age 21,Number,5460
Nation,United States,vocational certificate,Age 21,Number,279
Nation,United States,vocational license,Age 21,Number,65
Nation,United States,Associate Degree,Age 21,Number,146
Nation,United States,bachelor degree,Age 21,Number,10
Nation,United States,higher degree,Age 21,Number,26
Nation,United States,none of the above,Age 21,Number,1629
Nation,United States,Declined,Age 21,Number,142
Nation,United States,blank,Age 21,Number,20
Nation,United States,blank,Age 21,Percent,0
Nation,United States,Declined,Age 21,Percent,0.02
Nation,United States,none of the above,Age 21,Percent,0.21
Nation,United States,higher degree,Age 21,Percent,0
Nation,United States,bachelor degree,Age 21,Percent,0
Nation,United States,Associate Degree,Age 21,Percent,0.02
Nation,United States,vocational license,Age 21,Percent,0.01
Nation,United States,vocational certificate,Age 21,Percent,0.04
Nation,United States,high school or ged,Age 21,Percent,0.7
State,Alabama,blank,Age 21,Percent,S
State,Alabama,Declined,Age 21,Percent,S
State,Alabama,none of the above,Age 21,Percent,0.24
State,Alabama,higher degree,Age 21,Percent,S
State,Alabama,bachelor degree,Age 21,Percent,S
State,Alabama,Associate Degree,Age 21,Percent,S
State,Alabama,vocational license,Age 21,Percent,S
State,Alabama,vocational certificate,Age 21,Percent,S
State,Alabama,high school or ged,Age 21,Percent,0.68
State,Alabama,high school or ged,Age 21,Number,99
State,Alabama,vocational certificate,Age 21,Number,S
State,Alabama,vocational license,Age 21,Number,S
State,Alabama,Associate Degree,Age 21,Number,S
State,Alabama,bachelor degree,Age 21,Number,S
State,Alabama,higher degree,Age 21,Number,S
State,Alabama,none of the above,Age 21,Number,35
State,Alabama,Declined,Age 21,Number,S
State,Alabama,blank,Age 21,Number,S
State,Alabama,high school or ged,Age 19,Number,91
State,Alabama,vocational certificate,Age 19,Number,S
State,Alabama,vocational license,Age 19,Number,S
State,Alabama,Associate Degree,Age 19,Number,S
State,Alabama,bachelor degree,Age 19,Number,S
State,Alabama,higher degree,Age 19,Number,S
State,Alabama,none of the above,Age 19,Number,96
State,Alabama,Declined,Age 19,Number,S
State,Alabama,blank,Age 19,Number,S
State,Alabama,blank,Age 19,Percent,S
State,Alabama,Declined,Age 19,Percent,S
State,Alabama,none of the above,Age 19,Percent,0.51
State,Alabama,higher degree,Age 19,Percent,S
State,Alabama,bachelor degree,Age 19,Percent,S
State,Alabama,Associate Degree,Age 19,Percent,S
State,Alabama,vocational license,Age 19,Percent,S
State,Alabama,vocational certificate,Age 19,Percent,S
State,Alabama,high school or ged,Age 19,Percent,0.48
State,Alabama,blank,Age 17,Percent,S
State,Alabama,Declined,Age 17,Percent,S
State,Alabama,none of the above,Age 17,Percent,0.97
State,Alabama,higher degree,Age 17,Percent,S
State,Alabama,bachelor degree,Age 17,Percent,S
State,Alabama,Associate Degree,Age 17,Percent,S
State,Alabama,vocational license,Age 17,Percent,S
State,Alabama,vocational certificate,Age 17,Percent,S
State,Alabama,high school or ged,Age 17,Percent,S
State,Alabama,high school or ged,Age 17,Number,S
State,Alabama,vocational certificate,Age 17,Number,S
State,Alabama,vocational license,Age 17,Number,S
State,Alabama,Associate Degree,Age 17,Number,S
State,Alabama,bachelor degree,Age 17,Number,S
State,Alabama,higher degree,Age 17,Number,S
State,Alabama,none of the above,Age 17,Number,233
State,Alabama,Declined,Age 17,Number,S
State,Alabama,blank,Age 17,Number,S
State,Alaska,high school or ged,Age 17,Number,S
State,Alaska,vocational certificate,Age 17,Number,S
State,Alaska,vocational license,Age 17,Number,S
State,Alaska,Associate Degree,Age 17,Number,S
State,Alaska,bachelor degree,Age 17,Number,S
State,Alaska,higher degree,Age 17,Number,S
State,Alaska,none of the above,Age 17,Number,54
State,Alaska,Declined,Age 17,Number,S
State,Alaska,blank,Age 17,Number,S
State,Alaska,blank,Age 17,Percent,S
State,Alaska,Declined,Age 17,Percent,S
State,Alaska,none of the above,Age 17,Percent,0.95
State,Alaska,higher degree,Age 17,Percent,S
State,Alaska,bachelor degree,Age 17,Percent,S
State,Alaska,Associate Degree,Age 17,Percent,S
State,Alaska,vocational license,Age 17,Percent,S
State,Alaska,vocational certificate,Age 17,Percent,S
State,Alaska,high school or ged,Age 17,Percent,S
State,Alaska,blank,Age 19,Percent,S
State,Alaska,Declined,Age 19,Percent,S
State,Alaska,none of the above,Age 19,Percent,0.36
State,Alaska,higher degree,Age 19,Percent,S
State,Alaska,bachelor degree,Age 19,Percent,S
State,Alaska,Associate Degree,Age 19,Percent,S
State,Alaska,vocational license,Age 19,Percent,S
State,Alaska,vocational certificate,Age 19,Percent,S
State,Alaska,high school or ged,Age 19,Percent,0.61
State,Alaska,high school or ged,Age 19,Number,27
State,Alaska,vocational certificate,Age 19,Number,S
State,Alaska,vocational license,Age 19,Number,S
State,Alaska,Associate Degree,Age 19,Number,S
State,Alaska,bachelor degree,Age 19,Number,S
State,Alaska,higher degree,Age 19,Number,S
State,Alaska,none of the above,Age 19,Number,16
State,Alaska,Declined,Age 19,Number,S
State,Alaska,blank,Age 19,Number,S
State,Alaska,high school or ged,Age 21,Number,28
State,Alaska,vocational certificate,Age 21,Number,S
State,Alaska,vocational license,Age 21,Number,S
State,Alaska,Associate Degree,Age 21,Number,S
State,Alaska,bachelor degree,Age 21,Number,S
State,Alaska,higher degree,Age 21,Number,S
State,Alaska,none of the above,Age 21,Number,S
State,Alaska,Declined,Age 21,Number,S
State,Alaska,blank,Age 21,Number,S
State,Alaska,blank,Age 21,Percent,S
State,Alaska,Declined,Age 21,Percent,S
State,Alaska,none of the above,Age 21,Percent,S
State,Alaska,higher degree,Age 21,Percent,S
State,Alaska,bachelor degree,Age 21,Percent,S
State,Alaska,Associate Degree,Age 21,Percent,S
State,Alaska,vocational license,Age 21,Percent,S
State,Alaska,vocational certificate,Age 21,Percent,S
State,Alaska,high school or ged,Age 21,Percent,0.72
State,Arizona,blank,Age 21,Percent,S
State,Arizona,Declined,Age 21,Percent,S
State,Arizona,none of the above,Age 21,Percent,S
State,Arizona,higher degree,Age 21,Percent,S
State,Arizona,bachelor degree,Age 21,Percent,S
State,Arizona,Associate Degree,Age 21,Percent,S
State,Arizona,vocational license,Age 21,Percent,S
State,Arizona,vocational certificate,Age 21,Percent,S
State,Arizona,high school or ged,Age 21,Percent,0.74
State,Arizona,high school or ged,Age 21,Number,26
State,Arizona,vocational certificate,Age 21,Number,S
State,Arizona,vocational license,Age 21,Number,S
State,Arizona,Associate Degree,Age 21,Number,S
State,Arizona,bachelor degree,Age 21,Number,S
State,Arizona,higher degree,Age 21,Number,S
State,Arizona,none of the above,Age 21,Number,S
State,Arizona,Declined,Age 21,Number,S
State,Arizona,blank,Age 21,Number,S
State,Arizona,high school or ged,Age 19,Number,26
State,Arizona,vocational certificate,Age 19,Number,S
State,Arizona,vocational license,Age 19,Number,S
State,Arizona,Associate Degree,Age 19,Number,S
State,Arizona,bachelor degree,Age 19,Number,S
State,Arizona,higher degree,Age 19,Number,S
State,Arizona,none of the above,Age 19,Number,10
State,Arizona,Declined,Age 19,Number,S
State,Arizona,blank,Age 19,Number,S
State,Arizona,blank,Age 17,Percent,S
State,Arizona,Declined,Age 17,Percent,S
State,Arizona,none of the above,Age 17,Percent,0.86
State,Arizona,higher degree,Age 17,Percent,S
State,Arizona,bachelor degree,Age 17,Percent,S
State,Arizona,Associate Degree,Age 17,Percent,S
State,Arizona,vocational license,Age 17,Percent,S
State,Arizona,vocational certificate,Age 17,Percent,S
State,Arizona,high school or ged,Age 17,Percent,0.11
State,Arizona,blank,Age 19,Percent,S
State,Arizona,Declined,Age 19,Percent,S
State,Arizona,none of the above,Age 19,Percent,0.26
State,Arizona,higher degree,Age 19,Percent,S
State,Arizona,bachelor degree,Age 19,Percent,S
State,Arizona,Associate Degree,Age 19,Percent,S
State,Arizona,vocational license,Age 19,Percent,S
State,Arizona,vocational certificate,Age 19,Percent,S
State,Arizona,high school or ged,Age 19,Percent,0.68
State,Arizona,high school or ged,Age 17,Number,10
State,Arizona,vocational certificate,Age 17,Number,S
State,Arizona,vocational license,Age 17,Number,S
State,Arizona,Associate Degree,Age 17,Number,S
State,Arizona,bachelor degree,Age 17,Number,S
State,Arizona,higher degree,Age 17,Number,S
State,Arizona,none of the above,Age 17,Number,75
State,Arizona,Declined,Age 17,Number,S
State,Arizona,blank,Age 17,Number,S
State,Arkansas,high school or ged,Age 17,Number,S
