LocationType,Location,Children in Immigrant Families,TimeFrame,DataFormat,Data
Nation,United States,Children in immigrant families,2005,Currency,46500
Nation,United States,Children in U.S.-born families,2005,Currency,54700
Nation,United States,Children in U.S.-born families,2006,Currency,57000
Nation,United States,Children in immigrant families,2006,Currency,46800
Nation,United States,Children in immigrant families,2007,Currency,49200
Nation,United States,Children in U.S.-born families,2007,Currency,59600
Nation,United States,Children in immigrant families,2000-2002,Currency,43100
Nation,United States,Children in U.S.-born families,2000-2002,Currency,50500
Nation,United States,Children in U.S.-born families,2001-2003,Currency,50500
Nation,United States,Children in immigrant families,2001-2003,Currency,43600
Nation,United States,Children in U.S.-born families,2002-2004,Currency,51200
Nation,United States,Children in immigrant families,2008,Currency,51000
Nation,United States,Children in U.S.-born families,2008,Currency,61400
Nation,United States,Children in immigrant families,2002-2004,Currency,44700
Nation,United States,Children in immigrant families,2013,Currency,49600
Nation,United States,Children in U.S.-born families,2013,Currency,61600
Nation,United States,Children in immigrant families,2018,Currency,62300
Nation,United States,Children in U.S.-born families,2018,Currency,75100
Nation,United States,Children in immigrant families,2009,Currency,48200
Nation,United States,Children in U.S.-born families,2009,Currency,59100
Nation,United States,Children in immigrant families,2010,Currency,47000
Nation,United States,Children in U.S.-born families,2010,Currency,57900
Nation,United States,Children in immigrant families,2015,Currency,52500
Nation,United States,Children in U.S.-born families,2015,Currency,65900
Nation,United States,Children in immigrant families,2011,Currency,47000
Nation,United States,Children in U.S.-born families,2011,Currency,59300
Nation,United States,Children in immigrant families,2012,Currency,47800
Nation,United States,Children in U.S.-born families,2012,Currency,60500
Nation,United States,Children in immigrant families,2014,Currency,50600
Nation,United States,Children in U.S.-born families,2014,Currency,63300
Nation,United States,Children in immigrant families,2016,Currency,55500
Nation,United States,Children in U.S.-born families,2016,Currency,69200
Nation,United States,Children in immigrant families,2017,Currency,59800
Nation,United States,Children in U.S.-born families,2017,Currency,72000
Nation,United States,Children in immigrant families,2019,Currency,67900
Nation,United States,Children in U.S.-born families,2019,Currency,78000
Nation,United States,Children in immigrant families,2021,Currency,75300
Nation,United States,Children in U.S.-born families,2021,Currency,84100
State,Alabama,Children in immigrant families,2021,Currency,63400
State,Alabama,Children in U.S.-born families,2021,Currency,67300
State,Alabama,Children in immigrant families,2019,Currency,55400
State,Alabama,Children in U.S.-born families,2019,Currency,61700
State,Alabama,Children in immigrant families,2017,Currency,44600
State,Alabama,Children in U.S.-born families,2017,Currency,57100
State,Alabama,Children in immigrant families,2016,Currency,47400
State,Alabama,Children in U.S.-born families,2016,Currency,55600
State,Alabama,Children in immigrant families,2012,Currency,38100
State,Alabama,Children in U.S.-born families,2012,Currency,49500
State,Alabama,Children in immigrant families,2014,Currency,37900
State,Alabama,Children in U.S.-born families,2014,Currency,48200
State,Alabama,Children in immigrant families,2011,Currency,39600
State,Alabama,Children in U.S.-born families,2011,Currency,47100
State,Alabama,Children in immigrant families,2015,Currency,40300
State,Alabama,Children in U.S.-born families,2015,Currency,52100
State,Alabama,Children in immigrant families,2010,Currency,38700
State,Alabama,Children in U.S.-born families,2010,Currency,45300
State,Alabama,Children in immigrant families,2009,Currency,38900
State,Alabama,Children in U.S.-born families,2009,Currency,45900
State,Alabama,Children in immigrant families,2013,Currency,46700
State,Alabama,Children in U.S.-born families,2013,Currency,47700
State,Alabama,Children in immigrant families,2018,Currency,52500
State,Alabama,Children in U.S.-born families,2018,Currency,59700
State,Alabama,Children in immigrant families,2002-2004,Currency,40400
State,Alabama,Children in U.S.-born families,2002-2004,Currency,40700
State,Alabama,Children in immigrant families,2008,Currency,47100
State,Alabama,Children in U.S.-born families,2008,Currency,51000
State,Alabama,Children in U.S.-born families,2001-2003,Currency,39500
State,Alabama,Children in immigrant families,2001-2003,Currency,41100
State,Alabama,Children in immigrant families,2000-2002,Currency,40500
State,Alabama,Children in U.S.-born families,2000-2002,Currency,39000
State,Alabama,Children in immigrant families,2007,Currency,44200
State,Alabama,Children in U.S.-born families,2007,Currency,46200
State,Alabama,Children in U.S.-born families,2006,Currency,45700
State,Alabama,Children in immigrant families,2006,Currency,42400
State,Alabama,Children in immigrant families,2005,Currency,43700
State,Alabama,Children in U.S.-born families,2005,Currency,42000
State,Alaska,Children in immigrant families,2005,Currency,67300
State,Alaska,Children in U.S.-born families,2005,Currency,61500
State,Alaska,Children in U.S.-born families,2006,Currency,60100
State,Alaska,Children in immigrant families,2006,Currency,61600
State,Alaska,Children in immigrant families,2007,Currency,63400
State,Alaska,Children in U.S.-born families,2007,Currency,67500
State,Alaska,Children in U.S.-born families,2000-2002,Currency,57100
State,Alaska,Children in immigrant families,2000-2002,Currency,67400
State,Alaska,Children in U.S.-born families,2001-2003,Currency,56700
State,Alaska,Children in immigrant families,2001-2003,Currency,64300
State,Alaska,Children in U.S.-born families,2002-2004,Currency,57300
State,Alaska,Children in immigrant families,2002-2004,Currency,64000
State,Alaska,Children in immigrant families,2008,Currency,78400
State,Alaska,Children in U.S.-born families,2008,Currency,72700
State,Alaska,Children in immigrant families,2018,Currency,78300
State,Alaska,Children in U.S.-born families,2018,Currency,85900
State,Alaska,Children in immigrant families,2013,Currency,73600
State,Alaska,Children in U.S.-born families,2013,Currency,76500
State,Alaska,Children in immigrant families,2009,Currency,70700
State,Alaska,Children in U.S.-born families,2009,Currency,71400
State,Alaska,Children in immigrant families,2010,Currency,73400
State,Alaska,Children in U.S.-born families,2010,Currency,72300
State,Alaska,Children in immigrant families,2015,Currency,63100
State,Alaska,Children in U.S.-born families,2015,Currency,72400
State,Alaska,Children in immigrant families,2011,Currency,59700
State,Alaska,Children in U.S.-born families,2011,Currency,68000
State,Alaska,Children in immigrant families,2014,Currency,54600
State,Alaska,Children in U.S.-born families,2014,Currency,76900
State,Alaska,Children in immigrant families,2012,Currency,60300
State,Alaska,Children in U.S.-born families,2012,Currency,72400
State,Alaska,Children in immigrant families,2016,Currency,89900
State,Alaska,Children in U.S.-born families,2016,Currency,77300
State,Alaska,Children in immigrant families,2017,Currency,75900
State,Alaska,Children in U.S.-born families,2017,Currency,80500
State,Alaska,Children in immigrant families,2019,Currency,86600
State,Alaska,Children in U.S.-born families,2019,Currency,79600
State,Alaska,Children in immigrant families,2021,Currency,87200
State,Alaska,Children in U.S.-born families,2021,Currency,91000
State,Arizona,Children in immigrant families,2021,Currency,65300
State,Arizona,Children in U.S.-born families,2021,Currency,79500
State,Arizona,Children in immigrant families,2019,Currency,56400
State,Arizona,Children in U.S.-born families,2019,Currency,74800
State,Arizona,Children in immigrant families,2017,Currency,49400
State,Arizona,Children in U.S.-born families,2017,Currency,65700
State,Arizona,Children in immigrant families,2016,Currency,44000
State,Arizona,Children in U.S.-born families,2016,Currency,62100
State,Arizona,Children in immigrant families,2012,Currency,35500
State,Arizona,Children in U.S.-born families,2012,Currency,54800
State,Arizona,Children in immigrant families,2014,Currency,38400
State,Arizona,Children in U.S.-born families,2014,Currency,59100
State,Arizona,Children in immigrant families,2011,Currency,34200
State,Arizona,Children in U.S.-born families,2011,Currency,52300
State,Arizona,Children in immigrant families,2015,Currency,39900
State,Arizona,Children in U.S.-born families,2015,Currency,59200
State,Arizona,Children in immigrant families,2010,Currency,34700
State,Arizona,Children in U.S.-born families,2010,Currency,53000
State,Arizona,Children in immigrant families,2009,Currency,36500
State,Arizona,Children in U.S.-born families,2009,Currency,60300
State,Arizona,Children in immigrant families,2013,Currency,35500
State,Arizona,Children in U.S.-born families,2013,Currency,56900
State,Arizona,Children in immigrant families,2018,Currency,51000
State,Arizona,Children in U.S.-born families,2018,Currency,71000
State,Arizona,Children in immigrant families,2002-2004,Currency,32500
State,Arizona,Children in U.S.-born families,2002-2004,Currency,49400
State,Arizona,Children in immigrant families,2008,Currency,38900
State,Arizona,Children in U.S.-born families,2008,Currency,61000
State,Arizona,Children in U.S.-born families,2001-2003,Currency,49000
State,Arizona,Children in immigrant families,2001-2003,Currency,32000
State,Arizona,Children in immigrant families,2000-2002,Currency,32600
State,Arizona,Children in U.S.-born families,2000-2002,Currency,48000
State,Arizona,Children in immigrant families,2007,Currency,38800
State,Arizona,Children in U.S.-born families,2007,Currency,59700
State,Arizona,Children in U.S.-born families,2006,Currency,56300
State,Arizona,Children in immigrant families,2006,Currency,37700
State,Arizona,Children in immigrant families,2005,Currency,35100
State,Arizona,Children in U.S.-born families,2005,Currency,52600
State,Arkansas,Children in immigrant families,2005,Currency,40100
State,Arkansas,Children in U.S.-born families,2005,Currency,40900
State,Arkansas,Children in U.S.-born families,2006,Currency,42500
State,Arkansas,Children in immigrant families,2006,Currency,36300
State,Arkansas,Children in immigrant families,2007,Currency,36900
State,Arkansas,Children in U.S.-born families,2007,Currency,42300
State,Arkansas,Children in U.S.-born families,2000-2002,Currency,39300
State,Arkansas,Children in immigrant families,2000-2002,Currency,33000
State,Arkansas,Children in U.S.-born families,2001-2003,Currency,40000
State,Arkansas,Children in immigrant families,2001-2003,Currency,32400
State,Arkansas,Children in immigrant families,2008,Currency,40000
State,Arkansas,Children in U.S.-born families,2008,Currency,42600
State,Arkansas,Children in U.S.-born families,2002-2004,Currency,39300
State,Arkansas,Children in immigrant families,2002-2004,Currency,36600
State,Arkansas,Children in immigrant families,2013,Currency,39300
State,Arkansas,Children in U.S.-born families,2013,Currency,45700
State,Arkansas,Children in immigrant families,2018,Currency,47200
State,Arkansas,Children in U.S.-born families,2018,Currency,55700
State,Arkansas,Children in immigrant families,2010,Currency,36000
State,Arkansas,Children in U.S.-born families,2010,Currency,42000
State,Arkansas,Children in immigrant families,2009,Currency,32800
State,Arkansas,Children in U.S.-born families,2009,Currency,40800
State,Arkansas,Children in immigrant families,2015,Currency,37200
State,Arkansas,Children in U.S.-born families,2015,Currency,49900
State,Arkansas,Children in immigrant families,2011,Currency,35300
State,Arkansas,Children in U.S.-born families,2011,Currency,43500
State,Arkansas,Children in immigrant families,2012,Currency,36000
State,Arkansas,Children in U.S.-born families,2012,Currency,46300
State,Arkansas,Children in immigrant families,2014,Currency,38900
State,Arkansas,Children in U.S.-born families,2014,Currency,48300
State,Arkansas,Children in immigrant families,2016,Currency,46000
State,Arkansas,Children in U.S.-born families,2016,Currency,51500
State,Arkansas,Children in immigrant families,2017,Currency,45600
State,Arkansas,Children in U.S.-born families,2017,Currency,53600
State,Arkansas,Children in immigrant families,2019,Currency,49900
State,Arkansas,Children in U.S.-born families,2019,Currency,56500
State,Arkansas,Children in immigrant families,2021,Currency,56100
State,Arkansas,Children in U.S.-born families,2021,Currency,62400
State,California,Children in immigrant families,2021,Currency,81500
State,California,Children in U.S.-born families,2021,Currency,98400
State,California,Children in immigrant families,2019,Currency,71800
State,California,Children in U.S.-born families,2019,Currency,91600
State,California,Children in immigrant families,2017,Currency,62600
State,California,Children in U.S.-born families,2017,Currency,82400
State,California,Children in immigrant families,2016,Currency,56800
State,California,Children in U.S.-born families,2016,Currency,79700
State,California,Children in immigrant families,2014,Currency,50900
State,California,Children in U.S.-born families,2014,Currency,72100
State,California,Children in immigrant families,2012,Currency,48100
State,California,Children in U.S.-born families,2012,Currency,67400
State,California,Children in immigrant families,2011,Currency,47600
State,California,Children in U.S.-born families,2011,Currency,67000
State,California,Children in immigrant families,2015,Currency,52800
State,California,Children in U.S.-born families,2015,Currency,75800
State,California,Children in immigrant families,2009,Currency,49200
State,California,Children in U.S.-born families,2009,Currency,70200
State,California,Children in immigrant families,2010,Currency,47100
State,California,Children in U.S.-born families,2010,Currency,66700
State,California,Children in immigrant families,2013,Currency,50000
State,California,Children in U.S.-born families,2013,Currency,69400
State,California,Children in immigrant families,2018,Currency,66300
State,California,Children in U.S.-born families,2018,Currency,88700
State,California,Children in immigrant families,2002-2004,Currency,43400
State,California,Children in U.S.-born families,2002-2004,Currency,60400
State,California,Children in immigrant families,2008,Currency,51400
State,California,Children in U.S.-born families,2008,Currency,72200
State,California,Children in U.S.-born families,2001-2003,Currency,58300
State,California,Children in immigrant families,2001-2003,Currency,41600
State,California,Children in immigrant families,2000-2002,Currency,40700
State,California,Children in U.S.-born families,2000-2002,Currency,57500
State,California,Children in immigrant families,2007,Currency,50000
State,California,Children in U.S.-born families,2007,Currency,72000
State,California,Children in U.S.-born families,2006,Currency,68200
State,California,Children in immigrant families,2006,Currency,47400
State,California,Children in immigrant families,2005,Currency,46500
State,California,Children in U.S.-born families,2005,Currency,65400
State,Colorado,Children in immigrant families,2005,Currency,40600
State,Colorado,Children in U.S.-born families,2005,Currency,62100
State,Colorado,Children in U.S.-born families,2006,Currency,65600
State,Colorado,Children in immigrant families,2006,Currency,40000
State,Colorado,Children in immigrant families,2007,Currency,40800
State,Colorado,Children in U.S.-born families,2007,Currency,67700
State,Colorado,Children in U.S.-born families,2000-2002,Currency,57200
State,Colorado,Children in immigrant families,2000-2002,Currency,40500
State,Colorado,Children in U.S.-born families,2001-2003,Currency,58500
State,Colorado,Children in immigrant families,2001-2003,Currency,40000
State,Colorado,Children in U.S.-born families,2002-2004,Currency,59300
State,Colorado,Children in immigrant families,2002-2004,Currency,40500
State,Colorado,Children in immigrant families,2008,Currency,42400
State,Colorado,Children in U.S.-born families,2008,Currency,72000
State,Colorado,Children in immigrant families,2018,Currency,64200
State,Colorado,Children in U.S.-born families,2018,Currency,93000
State,Colorado,Children in immigrant families,2013,Currency,46100
State,Colorado,Children in U.S.-born families,2013,Currency,73300
State,Colorado,Children in immigrant families,2010,Currency,42100
State,Colorado,Children in U.S.-born families,2010,Currency,68200
State,Colorado,Children in immigrant families,2009,Currency,44300
State,Colorado,Children in U.S.-born families,2009,Currency,70300
State,Colorado,Children in immigrant families,2015,Currency,52900
State,Colorado,Children in U.S.-born families,2015,Currency,82000
State,Colorado,Children in immigrant families,2011,Currency,47500
State,Colorado,Children in U.S.-born families,2011,Currency,68200
State,Colorado,Children in immigrant families,2012,Currency,45200
State,Colorado,Children in U.S.-born families,2012,Currency,70600
State,Colorado,Children in immigrant families,2014,Currency,48300
State,Colorado,Children in U.S.-born families,2014,Currency,77700
State,Colorado,Children in immigrant families,2016,Currency,52600
State,Colorado,Children in U.S.-born families,2016,Currency,82700
State,Colorado,Children in immigrant families,2017,Currency,61300
State,Colorado,Children in U.S.-born families,2017,Currency,87600
State,Colorado,Children in immigrant families,2019,Currency,69400
State,Colorado,Children in U.S.-born families,2019,Currency,96100
State,Colorado,Children in immigrant families,2021,Currency,81800
State,Colorado,Children in U.S.-born families,2021,Currency,106000
State,Connecticut,Children in immigrant families,2021,Currency,89700
State,Connecticut,Children in U.S.-born families,2021,Currency,106100
State,Connecticut,Children in immigrant families,2019,Currency,82000
State,Connecticut,Children in U.S.-born families,2019,Currency,100200
State,Connecticut,Children in immigrant families,2017,Currency,75700
State,Connecticut,Children in U.S.-born families,2017,Currency,96800
State,Connecticut,Children in immigrant families,2016,Currency,72800
State,Connecticut,Children in U.S.-born families,2016,Currency,96600
State,Connecticut,Children in immigrant families,2014,Currency,74500
State,Connecticut,Children in U.S.-born families,2014,Currency,89300
State,Connecticut,Children in immigrant families,2012,Currency,74800
State,Connecticut,Children in U.S.-born families,2012,Currency,87000
State,Connecticut,Children in immigrant families,2011,Currency,71200
State,Connecticut,Children in U.S.-born families,2011,Currency,83900
State,Connecticut,Children in immigrant families,2015,Currency,73000
State,Connecticut,Children in U.S.-born families,2015,Currency,93400
State,Connecticut,Children in immigrant families,2009,Currency,70700
State,Connecticut,Children in U.S.-born families,2009,Currency,86900
State,Connecticut,Children in immigrant families,2010,Currency,66500
State,Connecticut,Children in U.S.-born families,2010,Currency,83500
State,Connecticut,Children in immigrant families,2018,Currency,73300
State,Connecticut,Children in U.S.-born families,2018,Currency,100800
State,Connecticut,Children in immigrant families,2013,Currency,71900
