State,Year,Median Household Income,Youth In Foster Care Who Graduated On Time,Children In Foster Care
Alabama,2005-01-01,42850.0,11000.045,3452.5
Alabama,2006-01-01,44050.0,12000.045,3576.5
Alabama,2007-01-01,45200.0,13000.05,3630.5
Alabama,2008-01-01,49050.0,10500.04,3432.5
Alabama,2009-01-01,42400.0,9500.035,3440.0
Alabama,2010-01-01,42000.0,10500.04,2677.0
Alabama,2011-01-01,43350.0,8500.03,2590.0
Alabama,2012-01-01,43800.0,8000.03,2232.0
Alabama,2013-01-01,47200.0,6500.025,2209.5
Alabama,2014-01-01,43050.0,7000.025,2221.0
Alabama,2015-01-01,46200.0,5500.02,2306.0
Alabama,2016-01-01,51500.0,5000.02,2462.0
Alabama,2017-01-01,50850.0,6500.025,2755.5
Alabama,2018-01-01,56100.0,4500.015,2909.5
Alabama,2019-01-01,58550.0,5000.02,2844.0
Alabama,2021-01-01,65350.0,6500.025,2649.5
Alaska,2005-01-01,64400.0,2000.045,899.0
Alaska,2006-01-01,60850.0,1500.035,1014.0
Alaska,2007-01-01,65450.0,1500.035,1101.0
Alaska,2008-01-01,75550.0,2000.05,1090.0
Alaska,2009-01-01,71050.0,1500.025,1089.0
Alaska,2010-01-01,72850.0,1500.03,905.5
Alaska,2011-01-01,63850.0,1500.035,924.0
Alaska,2012-01-01,66350.0,1000.025,937.0
Alaska,2013-01-01,75050.0,1000.03,989.5
Alaska,2014-01-01,65750.0,1000.02,1099.0
Alaska,2015-01-01,67750.0,1000.025,1331.5
Alaska,2016-01-01,83600.0,500.015,1412.5
Alaska,2017-01-01,78200.0,500.015,1380.5
Alaska,2018-01-01,82100.0,500.02,1400.0
Alaska,2019-01-01,83100.0,1000.02,1444.5
Alaska,2021-01-01,89100.0,1000.02,1418.0
Arizona,2005-01-01,43850.0,14000.045,4843.5
Arizona,2006-01-01,47000.0,15500.045,4865.5
Arizona,2007-01-01,49250.0,17000.05,4779.0
Arizona,2008-01-01,49950.0,16000.045,5204.0
Arizona,2009-01-01,48400.0,13500.04,5078.5
Arizona,2010-01-01,43850.0,15000.04,4967.0
Arizona,2011-01-01,43250.0,12000.035,5445.0
Arizona,2012-01-01,45150.0,10000.03,6734.5
Arizona,2013-01-01,46200.0,10500.03,7203.5
Arizona,2014-01-01,48750.0,9500.025,8128.0
Arizona,2015-01-01,49550.0,11500.03,8874.0
Arizona,2016-01-01,53050.0,10500.025,8564.0
Arizona,2017-01-01,57550.0,10500.025,7519.0
Arizona,2018-01-01,61000.0,11000.03,6684.0
Arizona,2019-01-01,65600.0,10000.025,6669.0
Arizona,2021-01-01,72400.0,12000.03,6843.5
Arkansas,2005-01-01,40500.0,6000.04,1621.5
Arkansas,2006-01-01,39400.0,5000.03,1719.5
Arkansas,2007-01-01,39600.0,5500.035,1810.5
Arkansas,2008-01-01,41300.0,7500.045,1763.5
Arkansas,2009-01-01,36800.0,5500.035,1831.0
Arkansas,2010-01-01,39000.0,7000.04,1887.5
Arkansas,2011-01-01,39400.0,3500.02,1868.5
Arkansas,2012-01-01,41150.0,4500.03,1858.0
Arkansas,2013-01-01,42500.0,3500.025,1901.0
Arkansas,2014-01-01,43600.0,4000.025,1905.5
Arkansas,2015-01-01,43550.0,4500.025,2275.5
Arkansas,2016-01-01,48750.0,4000.025,2443.5
Arkansas,2017-01-01,49600.0,3000.02,2391.5
Arkansas,2018-01-01,51450.0,4000.025,2120.0
Arkansas,2019-01-01,53200.0,3000.02,2066.0
Arkansas,2021-01-01,59250.0,2500.015,2260.5
California,2005-01-01,55950.0,67000.035,39805.0
California,2006-01-01,57800.0,70500.03,38766.5
California,2007-01-01,61000.0,72000.035,37009.5
California,2008-01-01,61800.0,70500.03,33643.5
California,2009-01-01,59700.0,56500.025,30078.5
California,2010-01-01,56900.0,57000.025,28841.0
California,2011-01-01,57300.0,44000.02,26086.5
California,2012-01-01,57750.0,39500.02,25409.0
California,2013-01-01,59700.0,36500.015,26533.0
California,2014-01-01,61500.0,31000.015,26705.5
California,2015-01-01,64300.0,29500.015,26458.0
California,2016-01-01,68250.0,31000.015,25814.0
California,2017-01-01,72500.0,28500.015,24607.0
California,2018-01-01,77500.0,25000.01,23855.5
California,2019-01-01,81700.0,24000.01,23714.5
California,2021-01-01,89950.0,29000.015,22180.5
Colorado,2005-01-01,51350.0,9500.04,4056.5
Colorado,2006-01-01,52800.0,11500.045,4026.5
Colorado,2007-01-01,54250.0,9000.035,3832.5
Colorado,2008-01-01,57200.0,10000.04,3902.0
Colorado,2009-01-01,57300.0,10000.04,3881.0
Colorado,2010-01-01,55150.0,7500.025,3417.0
Colorado,2011-01-01,57850.0,8000.03,2713.5
Colorado,2012-01-01,57900.0,5500.02,2517.0
Colorado,2013-01-01,59700.0,5500.02,2484.0
Colorado,2014-01-01,63000.0,6500.025,2494.5
Colorado,2015-01-01,67450.0,7000.025,2496.0
Colorado,2016-01-01,67650.0,6500.025,2560.0
Colorado,2017-01-01,74450.0,6000.02,2566.5
Colorado,2018-01-01,78600.0,5500.02,2475.0
Colorado,2019-01-01,82750.0,5500.02,2409.5
Colorado,2021-01-01,93900.0,5000.015,1933.5
Connecticut,2005-01-01,73100.0,3500.02,3515.0
Connecticut,2006-01-01,74850.0,4000.02,3720.0
Connecticut,2007-01-01,77500.0,4000.02,2895.0
Connecticut,2008-01-01,79900.0,5000.025,2690.0
Connecticut,2009-01-01,78800.0,4500.02,2383.5
Connecticut,2010-01-01,75000.0,4000.02,2233.5
Connecticut,2011-01-01,77550.0,3500.02,2111.0
Connecticut,2012-01-01,80900.0,3000.015,1930.0
Connecticut,2013-01-01,80750.0,3000.015,1767.5
Connecticut,2014-01-01,81900.0,3000.015,1724.0
Connecticut,2015-01-01,83200.0,2500.015,1680.0
Connecticut,2016-01-01,84700.0,3000.015,1780.0
Connecticut,2017-01-01,86250.0,1500.01,1793.5
Connecticut,2018-01-01,87050.0,2000.01,1866.0
Connecticut,2019-01-01,91100.0,2000.01,1941.0
Connecticut,2021-01-01,97900.0,2000.01,1476.0
Delaware,2005-01-01,56500.0,2000.045,482.0
Delaware,2006-01-01,59450.0,1500.035,536.5
Delaware,2007-01-01,55550.0,2000.045,580.5
Delaware,2008-01-01,63350.0,2000.035,471.5
Delaware,2009-01-01,64900.0,1500.03,408.5
Delaware,2010-01-01,57300.0,1500.03,371.5
Delaware,2011-01-01,60350.0,1500.035,417.5
Delaware,2012-01-01,61100.0,1500.03,387.0
Delaware,2013-01-01,55750.0,500.015,340.0
Delaware,2014-01-01,70450.0,500.015,307.0
Delaware,2015-01-01,64750.0,1000.025,333.5
Delaware,2016-01-01,66250.0,1500.03,383.5
Delaware,2017-01-01,62750.0,500.015,386.5
Delaware,2018-01-01,68100.0,1000.02,355.5
Delaware,2019-01-01,77950.0,1000.02,289.0
Delaware,2021-01-01,84300.0,1000.02,223.0
District of Columbia,2005-01-01,39350.0,500.04,1267.0
District of Columbia,2006-01-01,48100.0,1000.035,1188.5
District of Columbia,2007-01-01,47550.0,1500.04,1105.0
District of Columbia,2008-01-01,52800.0,1500.035,1115.0
District of Columbia,2009-01-01,48350.0,1500.035,1061.5
District of Columbia,2010-01-01,62250.0,1000.025,1040.5
District of Columbia,2011-01-01,56500.0,1000.03,677.0
District of Columbia,2012-01-01,62800.0,500.02,584.0
District of Columbia,2013-01-01,54950.0,1000.03,487.5
District of Columbia,2014-01-01,59750.0,500.015,417.5
District of Columbia,2015-01-01,72350.0,500.01,422.0
District of Columbia,2016-01-01,68050.0,0.01,397.5
District of Columbia,2017-01-01,89100.0,500.02,363.5
District of Columbia,2018-01-01,91450.0,500.01,345.5
District of Columbia,2019-01-01,107900.0,500.01,328.0
Florida,2005-01-01,47150.0,37500.04,14649.5
Florida,2006-01-01,50000.0,37000.04,14608.0
Florida,2007-01-01,51400.0,40500.045,13180.5
Florida,2008-01-01,52100.0,32500.035,11094.5
Florida,2009-01-01,47950.0,33500.035,9577.5
Florida,2010-01-01,47700.0,29000.03,9376.0
Florida,2011-01-01,46700.0,28000.03,9878.5
Florida,2012-01-01,46700.0,24000.025,9768.0
Florida,2013-01-01,48400.0,24000.025,9007.5
Florida,2014-01-01,49450.0,23500.025,9857.0
Florida,2015-01-01,51200.0,24500.025,11179.5
Florida,2016-01-01,54050.0,22500.025,11905.0
Florida,2017-01-01,56200.0,23500.025,12320.5
Florida,2018-01-01,59900.0,24500.025,12203.0
Florida,2019-01-01,63600.0,18500.02,11912.0
Florida,2021-01-01,70350.0,21500.02,11321.5
Georgia,2005-01-01,49150.0,24500.05,6981.0
Georgia,2006-01-01,48750.0,26000.045,6590.0
Georgia,2007-01-01,50450.0,28500.05,6120.0
Georgia,2008-01-01,51900.0,24500.04,4993.0
Georgia,2009-01-01,46750.0,22500.035,4011.5
Georgia,2010-01-01,46900.0,21500.035,3449.0
Georgia,2011-01-01,44100.0,20000.035,3797.0
Georgia,2012-01-01,46850.0,17000.03,3837.0
Georgia,2013-01-01,47700.0,16500.03,3805.0
Georgia,2014-01-01,48800.0,14000.025,4504.5
Georgia,2015-01-01,52950.0,14500.025,5469.0
Georgia,2016-01-01,56500.0,15000.025,6193.0
Georgia,2017-01-01,58450.0,14000.025,6575.5
Georgia,2018-01-01,62150.0,13500.02,6899.0
Georgia,2019-01-01,65650.0,15000.025,6436.0
Georgia,2021-01-01,72950.0,14500.025,5254.0
Hawaii,2005-01-01,65500.0,1000.015,1377.0
Hawaii,2006-01-01,68800.0,2000.03,1181.5
Hawaii,2007-01-01,71600.0,1500.02,973.0
Hawaii,2008-01-01,77700.0,2500.04,813.5
Hawaii,2009-01-01,74700.0,2500.035,730.0
Hawaii,2010-01-01,76200.0,1500.02,609.5
Hawaii,2011-01-01,69100.0,1500.02,563.0
Hawaii,2012-01-01,74750.0,1500.02,541.5
Hawaii,2013-01-01,81600.0,1000.02,544.5
Hawaii,2014-01-01,75250.0,1500.02,612.5
Hawaii,2015-01-01,80900.0,1000.015,682.0
Hawaii,2016-01-01,84300.0,1000.015,769.0
Hawaii,2017-01-01,90300.0,1000.015,764.0
Hawaii,2018-01-01,94100.0,1500.02,802.5
Hawaii,2019-01-01,97500.0,1000.015,803.5
Hawaii,2021-01-01,97700.0,1000.02,657.5
Idaho,2005-01-01,40550.0,3500.045,911.5
Idaho,2006-01-01,43900.0,3000.035,927.5
Idaho,2007-01-01,46700.0,3000.04,937.5
Idaho,2008-01-01,49400.0,3000.03,863.5
Idaho,2009-01-01,44450.0,3000.03,724.5
Idaho,2010-01-01,44500.0,2500.025,732.5
Idaho,2011-01-01,48100.0,2000.02,678.5
Idaho,2012-01-01,48000.0,2000.02,616.0
Idaho,2013-01-01,47950.0,3000.03,668.5
Idaho,2014-01-01,50100.0,1500.02,603.5
Idaho,2015-01-01,56850.0,3000.03,676.0
Idaho,2016-01-01,55950.0,1500.02,759.5
Idaho,2017-01-01,55650.0,2500.025,798.0
Idaho,2018-01-01,59950.0,2500.025,908.5
Idaho,2019-01-01,66600.0,1500.015,877.5
Idaho,2021-01-01,72850.0,3500.03,796.0
Illinois,2005-01-01,57050.0,22000.035,9688.0
Illinois,2006-01-01,57250.0,20500.03,9156.0
Illinois,2007-01-01,58600.0,22500.03,8926.0
Illinois,2008-01-01,61750.0,22000.03,8911.0
Illinois,2009-01-01,58150.0,22000.03,8532.0
Illinois,2010-01-01,57400.0,18500.025,8859.5
